descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Apartamento com 2 Quartos à Venda, 70m²;Rua Poeta Francisco Ferreira Leite, 40 - Cristo Rei, Curitiba - PR;70;2;1;1;R$ 295.000;R$ 430;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-70m2-venda-RS295000-id-2557086354/
Easy District;Rua Desembargador Westphalen, 450 - Centro, Curitiba - PR;18-34;1-2;1;--;A partir de     R$ 221.000;;https://www.vivareal.com.br/imoveis-lancamento/easy-district-2569691143/
Apartamento com 3 Quartos à Venda, 53m²;Rua Alfredo José Pinto, 1640 - Fazendinha, Curitiba - PR;53;3;1;1;R$ 185.000;R$ 392;https://www.vivareal.com.br/imovel/apartamento-3-quartos-fazendinha-bairros-curitiba-com-garagem-53m2-venda-RS185000-id-2570851862/
Apartamento com 3 Quartos à Venda, 66m²;Rua Deputado Waldemiro Pedroso, 1063 - Novo Mundo, Curitiba - PR;66;3;2;1;R$ 269.990;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-66m2-venda-RS269990-id-2571354945/
Apartamento com 3 Quartos à Venda, 137m²;Avenida Anita Garibaldi, 1576 - Cabral, Curitiba - PR;137;3;3;2;R$ 640.000;R$ 525;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-137m2-venda-RS640000-id-2547149340/
Apartamento com 2 Quartos à Venda, 70m²;Rua Percy Feliciano de Castilho, 600 - Bairro Alto, Curitiba - PR;70;2;2;1;R$ 389.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bairro-alto-bairros-curitiba-com-garagem-70m2-venda-RS389000-id-2584241861/
Apartamento com 2 Quartos à Venda, 50m²;Rua Vale dos Pássaros, 93 - Cidade Industrial, Curitiba - PR;50;2;1;1;R$ 130.000;R$ 352;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-50m2-venda-RS130000-id-2467550190/
Apartamento com 3 Quartos à Venda, 59m²;Rua Rezala Simão, 650 - Santa Quitéria, Curitiba - PR;59;3;1;1;R$ 230.000;R$ 300;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-quiteria-bairros-curitiba-com-garagem-59m2-venda-RS230000-id-2563448271/
LIFESPACE ESTAÇÃO;Rua Barão do Rio Branco, 763 - Centro, Curitiba - PR;123-149;2;2;2;R$ 990.248;;https://www.vivareal.com.br/imoveis-lancamento/lifespace-estacao-2439179141/
Apartamento com 2 Quartos à Venda, 82m²;Rua Leão Sallum, 526 - Boa Vista, Curitiba - PR;82;2;2;2;R$ 999.999;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-82m2-venda-RS999999-id-2517262807/
Apartamento com 3 Quartos à Venda, 74m²;Rua Anna Gbur Barcik, 221 - Santo Inácio, Curitiba - PR;74;3;2;1;R$ 449.990;R$ 380;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santo-inacio-bairros-curitiba-com-garagem-74m2-venda-RS449990-id-2569214395/
Apartamento com 3 Quartos à Venda, 94m²;Rua Monsenhor Manoel Vicente, 316 - Água Verde, Curitiba - PR;94;3;2;2;R$ 680.000;R$ 530;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-94m2-venda-RS680000-id-2540019474/
